University_Code,University_Name,County,Type,Degree,Total_Students,Male,Female,FirstYear_Male,FirstYear_Female,SecondYear_Male,SecondYear_Female,ThirdYear_Male,ThirdYear_Female,FourthYear_Male,FourthYear_Female,FifthYear_Male,FifthYear_Female,SixthYear_Male,SixthYear_Female,SeventhYear_Male,SeventhYear_Female,Supersenior_Male,Supersenior_Female
23,國立雲林科技大學,09 雲林縣,日間部學制,學士班,6320,3783,2537,902,639,974,617,906,624,882,584,0,0,0,0,0,0,119,73
23,國立雲林科技大學,09 雲林縣,日間部學制,學士班,221,94,127,0,0,0,0,51,58,38,62,0,0,0,0,0,0,5,7
23,國立雲林科技大學,09 雲林縣,進修部在職專班,碩士班,727,414,313,149,115,175,137,44,28,30,16,16,17,0,0,0,0,0,0
23,國立雲林科技大學,09 雲林縣,進修部學制,學士班,45,22,23,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,國立屏東科技大學,13 屏東縣,日間部學制,博士班,252,167,85,30,14,29,17,33,11,21,17,15,9,13,11,26,6,0,0
24,國立屏東科技大學,13 屏東縣,日間部學制,碩士班,1153,689,464,303,194,254,176,98,66,28,24,5,4,1,0,0,0,0,0
24,國立屏東科技大學,13 屏東縣,日間部學制,學士班,7776,4049,3727,"1,014",870,941,872,955,933,953,924,39,62,0,0,0,0,147,66
24,國立屏東科技大學,13 屏東縣,日間部學制,學士班,10,3,7,0,0,0,0,1,2,1,5,0,0,0,0,0,0,1,0
24,國立屏東科技大學,13 屏東縣,進修部在職專班,碩士班,475,329,146,155,55,94,68,35,12,24,4,14,4,7,3,0,0,0,0
24,國立屏東科技大學,13 屏東縣,進修部學制,學士班,1521,807,714,185,181,194,153,181,183,159,144,0,0,0,0,0,0,88,53
25,國立臺北科技大學,30 臺北市,日間部學制,博士班,722,576,146,101,23,104,23,97,19,79,21,63,23,61,11,71,26,0,0
25,國立臺北科技大學,30 臺北市,日間部學制,碩士班,2783,2097,686,950,318,934,284,181,61,32,23,0,0,0,0,0,0,0,0
25,國立臺北科技大學,30 臺北市,日間部學制,學士班,5982,4161,1821,"1,082",481,"1,056",463,"1,018",412,976,457,0,0,0,0,0,0,29,8
25,國立臺北科技大學,30 臺北市,日間部學制,學士班,85,39,46,0,0,0,0,22,28,16,18,0,0,0,0,0,0,1,0
25,國立臺北科技大學,30 臺北市,進修部在職專班,碩士班,1474,1071,403,411,172,344,150,181,44,85,29,44,7,6,1,0,0,0,0
25,國立臺北科技大學,30 臺北市,進修部學制,學士班,1586,1331,255,447,95,382,74,277,43,221,42,0,0,0,0,0,0,4,1
25,國立臺北科技大學,30 臺北市,進修部學制,學士班,341,215,126,0,0,0,0,40,18,118,79,15,8,0,0,0,0,42,21
26,國立高雄第一科技大學,12 高雄市,日間部學制,博士班,227,175,52,24,9,26,10,34,8,32,9,16,6,16,5,27,5,0,0
26,國立高雄第一科技大學,12 高雄市,日間部學制,碩士班,1052,645,407,282,191,257,143,78,57,28,16,0,0,0,0,0,0,0,0
26,國立高雄第一科技大學,12 高雄市,日間部學制,學士班,5639,2890,2749,759,669,717,682,632,666,667,680,0,0,0,0,0,0,115,52
26,國立高雄第一科技大學,12 高雄市,日間部學制,學士班,172,52,120,0,0,0,0,21,60,29,57,0,0,0,0,0,0,2,3
26,國立高雄第一科技大學,12 高雄市,進修部在職專班,碩士班,714,502,212,192,80,145,77,79,37,42,10,30,6,14,2,0,0,0,0
27,國立高雄應用科技大學,50 高雄市,日間部學制,博士班,290,239,51,48,10,43,20,54,8,29,8,32,2,17,1,16,2,0,0
27,國立高雄應用科技大學,50 高雄市,日間部學制,碩士班,1171,831,340,333,153,399,144,77,32,20,11,2,0,0,0,0,0,0,0
27,國立高雄應用科技大學,50 高雄市,日間部學制,學士班,7280,4709,2571,"1,150",592,"1,148",620,"1,152",639,"1,096",664,0,0,0,0,0,0,163,56
27,國立高雄應用科技大學,50 高雄市,日間部學制,學士班,100,68,32,0,0,0,0,30,15,36,15,0,0,0,0,0,0,2,2
27,國立高雄應用科技大學,50 高雄市,進修部在職專班,碩士班,1132,717,415,298,177,272,201,85,21,44,11,13,4,5,1,0,0,0,0
27,國立高雄應用科技大學,50 高雄市,進修部學制,學士班,1519,1011,508,307,174,243,136,214,107,161,74,0,0,0,0,0,0,86,17
27,國立高雄應用科技大學,50 高雄市,進修部學制,學士班,330,145,185,0,0,0,0,54,67,83,106,0,0,0,0,0,0,8,12
28,國立臺北藝術大學,30 臺北市,日間部學制,博士班,86,27,59,10,11,4,13,2,12,5,6,3,5,3,7,0,5,0,0
28,國立臺北藝術大學,30 臺北市,日間部學制,碩士班,956,350,606,112,168,93,170,88,159,57,109,0,0,0,0,0,0,0,0
28,國立臺北藝術大學,30 臺北市,日間部學制,學士班,1754,614,1140,154,237,121,270,135,249,116,255,0,0,0,0,0,0,88,129
28,國立臺北藝術大學,30 臺北市,日間部學制,副學士,75,34,41,8,15,13,14,13,12,0,0,0,0,0,0,0,0,0,0
28,國立臺北藝術大學,30 臺北市,進修部在職專班,碩士班,193,66,127,17,44,20,35,13,30,9,10,7,8,0,0,0,0,0,0
29,國立臺灣藝術大學,01 新北市,日間部學制,博士班,112,54,58,16,17,13,12,9,9,12,7,2,6,1,3,1,4,0,0
29,國立臺灣藝術大學,01 新北市,日間部學制,碩士班,754,273,481,78,141,74,141,71,129,50,70,0,0,0,0,0,0,0,0
29,國立臺灣藝術大學,01 新北市,日間部學制,學士班,2438,699,1739,149,397,155,386,146,395,158,383,0,0,0,0,0,0,91,178
29,國立臺灣藝術大學,01 新北市,進修部在職專班,碩士班,429,171,258,39,71,59,61,37,50,24,40,10,25,2,11,0,0,0,0
29,國立臺灣藝術大學,01 新北市,進修部學制,學士班,371,94,277,0,0,0,0,38,123,35,104,0,0,0,0,0,0,21,50
29,國立臺灣藝術大學,01 新北市,進修學士班,學士班,1579,502,1077,120,264,114,238,103,253,108,225,0,0,0,0,0,0,57,97
30,國立臺東大學,14 臺東縣,日間部學制,博士班,41,14,27,3,5,1,5,4,3,1,2,1,5,1,5,3,2,0,0
30,國立臺東大學,14 臺東縣,日間部學制,碩士班,334,136,198,46,78,52,43,26,45,12,30,0,2,0,0,0,0,0,0
30,國立臺東大學,14 臺東縣,日間部學制,學士班,3526,1732,1794,433,436,412,435,412,440,383,437,0,0,0,0,0,0,92,46
30,國立臺東大學,14 臺東縣,進修部在職專班,碩士班,542,158,384,57,147,57,137,25,40,10,33,5,18,3,2,1,7,0,0
30,國立臺東大學,14 臺東縣,進修學士班,學士班,173,78,95,22,30,15,26,16,19,18,18,0,0,0,0,0,0,7,2
31,國立宜蘭大學,02 宜蘭縣,日間部學制,博士班,12,10,2,2,1,2,0,0,0,1,1,1,0,2,0,2,0,0,0
31,國立宜蘭大學,02 宜蘭縣,日間部學制,碩士班,474,329,145,132,59,127,60,50,20,19,6,1,0,0,0,0,0,0,0
31,國立宜蘭大學,02 宜蘭縣,日間部學制,學士班,4450,2886,1564,730,376,727,377,685,384,636,397,0,0,0,0,0,0,108,30
31,國立宜蘭大學,02 宜蘭縣,進修部在職專班,碩士班,197,141,56,49,19,42,26,24,7,12,4,9,0,5,0,0,0,0,0
31,國立宜蘭大學,02 宜蘭縣,進修學士班,學士班,378,255,123,78,29,52,33,51,27,59,26,0,0,0,0,0,0,15,8
32,國立聯合大學,05 苗栗縣,日間部學制,博士班,12,12,0,3,0,3,0,3,0,1,0,0,0,2,0,0,0,0,0
32,國立聯合大學,05 苗栗縣,日間部學制,碩士班,410,289,121,121,52,110,50,44,11,12,7,2,1,0,0,0,0,0,0
32,國立聯合大學,05 苗栗縣,日間部學制,學士班,6051,4169,1882,"1,003",462,998,466,988,456,973,456,31,13,0,0,0,0,176,29
32,國立聯合大學,05 苗栗縣,進修部在職專班,碩士班,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,國立聯合大學,05 苗栗縣,進修學士班,學士班,1253,746,507,179,125,171,123,174,125,153,110,0,0,0,0,0,0,69,24
33,國立虎尾科技大學,09 雲林縣,日間部學制,博士班,33,25,8,7,2,5,1,4,2,4,0,4,2,0,1,1,0,0,0
33,國立虎尾科技大學,09 雲林縣,日間部學制,碩士班,855,683,172,278,94,320,65,67,10,18,3,0,0,0,0,0,0,0,0
33,國立虎尾科技大學,09 雲林縣,日間部學制,學士班,7236,5459,1777,"1,409",414,"1,321",428,"1,279",430,"1,224",469,0,0,0,0,0,0,226,36
33,國立虎尾科技大學,09 雲林縣,日間部學制,學士班,180,138,42,0,0,0,0,72,24,65,18,0,0,0,0,0,0,1,0
33,國立虎尾科技大學,09 雲林縣,進修部在職專班,碩士班,199,142,57,51,25,46,21,34,6,6,1,5,4,0,0,0,0,0,0
33,國立虎尾科技大學,09 雲林縣,進修部學制,學士班,1580,1268,312,392,99,388,80,230,63,203,63,0,0,0,0,0,0,55,7
33,國立虎尾科技大學,09 雲林縣,進修部學制,學士班,105,53,52,0,0,0,0,29,30,22,21,0,0,0,0,0,0,2,1
34,國立高雄海洋科技大學,50 高雄市,日間部學制,博士班,28,22,6,9,1,6,5,4,0,3,0,0,0,0,0,0,0,0,0
34,國立高雄海洋科技大學,50 高雄市,日間部學制,碩士班,317,204,113,88,43,71,49,37,17,8,4,0,0,0,0,0,0,0,0
34,國立高雄海洋科技大學,50 高雄市,日間部學制,學士班,4590,2954,1636,741,392,718,397,674,390,665,418,0,0,0,0,0,0,156,39
34,國立高雄海洋科技大學,50 高雄市,日間部學制,學士班,212,185,27,0,0,0,0,85,10,77,15,0,0,0,0,0,0,23,2
34,國立高雄海洋科技大學,50 高雄市,日間部學制,副學士,508,422,86,81,20,83,16,81,16,79,20,78,14,0,0,0,0,20,0
34,國立高雄海洋科技大學,50 高雄市,進修部在職專班,碩士班,169,124,45,60,17,48,18,8,6,8,4,0,0,0,0,0,0,0,0
34,國立高雄海洋科技大學,50 高雄市,進修部學制,學士班,1837,1282,555,383,104,298,119,240,137,239,157,0,0,0,0,0,0,122,38
35,國立臺南藝術大學,11 臺南市,日間部學制,博士班,38,19,19,4,3,2,3,3,2,1,3,5,1,2,2,2,5,0,0
35,國立臺南藝術大學,11 臺南市,日間部學制,碩士班,540,196,344,56,96,44,107,45,66,50,72,0,1,1,1,0,1,0,0
35,國立臺南藝術大學,11 臺南市,日間部學制,學士班,784,235,549,60,130,56,135,51,124,49,122,0,0,0,0,0,0,19,38
35,國立臺南藝術大學,11 臺南市,日間部學制,副學士,170,67,103,20,40,24,33,23,30,0,0,0,0,0,0,0,0,0,0
35,國立臺南藝術大學,11 臺南市,進修部在職專班,碩士班,48,16,32,1,10,3,6,4,2,5,4,0,4,1,4,2,2,0,0
36,國立臺南大學,21 臺南市,日間部學制,博士班,173,80,93,17,14,11,19,15,17,12,12,14,13,3,10,8,8,0,0
36,國立臺南大學,21 臺南市,日間部學制,碩士班,940,427,513,151,160,144,155,71,108,59,85,2,5,0,0,0,0,0,0
36,國立臺南大學,21 臺南市,日間部學制,學士班,3879,1786,2093,430,501,441,501,436,530,402,508,0,0,0,0,0,0,77,53
36,國立臺南大學,21 臺南市,進修部在職專班,碩士班,683,233,450,80,162,81,125,28,91,34,45,8,24,1,1,1,2,0,0
36,國立臺南大學,21 臺南市,進修學士班,學士班,70,20,50,1,12,2,7,9,11,3,15,0,0,0,0,0,0,5,5
37,國立臺北教育大學,30 臺北市,日間部學制,博士班,150,70,80,13,14,13,15,13,13,11,10,4,7,8,6,8,15,0,0
37,國立臺北教育大學,30 臺北市,日間部學制,碩士班,1256,417,839,143,286,131,230,90,176,50,139,2,6,1,2,0,0,0,0
37,國立臺北教育大學,30 臺北市,日間部學制,學士班,3383,1180,2203,297,545,281,528,267,528,277,521,0,0,0,0,0,0,58,81
37,國立臺北教育大學,30 臺北市,進修部在職專班,碩士班,1019,237,782,83,283,74,246,26,110,33,112,15,23,6,8,0,0,0,0
39,國立臺中教育大學,19 臺中市,日間部學制,博士班,124,57,67,10,6,9,10,10,10,11,9,6,13,5,6,6,13,0,0
39,國立臺中教育大學,19 臺中市,日間部學制,碩士班,818,281,537,93,192,99,181,51,86,29,62,6,7,3,9,0,0,0,0
39,國立臺中教育大學,19 臺中市,日間部學制,學士班,3351,1194,2157,297,516,289,512,270,540,288,530,0,0,0,0,0,0,50,59
39,國立臺中教育大學,19 臺中市,進修部在職專班,碩士班,713,176,537,56,190,45,170,26,94,25,58,11,15,13,10,0,0,0,0
42,國立澎湖科技大學,16 澎湖縣,日間部學制,碩士班,86,46,40,20,19,18,14,4,5,4,2,0,0,0,0,0,0,0,0
